Velocity (m/s),Time (s),Model Speed (m/s),Acceleration (m/s2),Force (N),Force (N/kg),Power (W/kg),Ratio Force (%),F0 (N),F0 (N/kg),V0 (m/s),Pmax (W),Pmax (W/kg),FV Profile Slope,RFmax,Drf
11.89,5.2,11.918799735767493,0.2781937188596811,72.39043049310253,0.7701109626925801,9.178798338651973,0.06223628010113866,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.9,5.3,11.945740700166558,0.2608124515054462,70.96586815337413,0.7549560441848312,9.01850914385548,0.06101614529460756,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.93,5.4,11.970998419857867,0.24451714847879455,69.63074020371712,0.7407525553586928,8.867547669704589,0.059872362398379134,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.96,5.5,11.994678062299583,0.2292399598067211,68.37940692181073,0.7274404991681992,8.725414597001057,0.05880015084323662,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.99,5.6,12.016878224191485,0.2149172747151701,67.20658723841194,0.714963694025659,8.591631645824444,0.05779502922844394,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.02,5.7,12.037691342009454,0.20148945676809366,66.10733556777754,0.7032695273167824,8.465741500080313,0.05685279670382764,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.04,5.8,12.057204076890123,0.18890059555475955,65.0770201778553,0.692308725296333,8.34730758510955,0.055969515482747624,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.08,5.9,12.075497675468348,0.177098273891388,64.11130299288601,0.6820351382221916,8.235913726189809,0.05514149442335626,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.12,6.0,12.09264830816991,0.16603334956780058,63.206120729114524,0.6724055396714311,8.131163711711807,0.05436527361774724,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
12.135,6.1,12.108727386368002,0.1556597507303203,62.35766727170013,0.6633794390606397,8.032680781307011,0.05363760993099854,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
